task,target,unit,feature_source,feature_set,feature_set_display,model,model_display,fold,mbid,y_true,y_pred,absolute_error,ensemble_tabpfn_weight,ensemble_extra_trees_weight,inner_selected_tabpfn_weight,inner_selected_extra_trees_weight,analysis_group
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-jdft2d-471,543.4708000000002,133.083740234375,410.38705976562517,,,,,best_model_by_task
matbench_jdft2d,exfoliation_en,meV/atom,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-jdft2d-533,515.5750000000002,136.0236358642578,379.55136413574235,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,0,mb-phonons-0823,2275.5855983693336,3445.6787109375,1170.0931125681664,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-phonons-0773,2181.5856058331024,1417.30078125,764.2848245831024,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,0,mb-phonons-1186,765.585718266041,1523.416748046875,757.831029780834,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,3,mb-phonons-1264,1090.5856924604586,1688.892333984375,598.3066415239164,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,4,mb-phonons-0394,2131.5856098031923,1582.2691650390625,549.3164447641298,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-phonons-1239,1840.5856329091127,1348.80517578125,491.78045712786275,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,4,mb-phonons-0684,2160.58560750054,1672.5546875,488.03092000053994,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,2,mb-phonons-0385,1001.585699527218,634.5568237304688,367.0288757967493,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,1,mb-phonons-0547,3285.230902043269,2924.0546875,361.176214543269,,,,,best_model_by_task
matbench_phonons,last phdos peak,cm^-1,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,3,mb-phonons-0181,1209.5856830116452,1570.201416015625,360.6157330039798,,,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,0,mb-steels-108,2356.4,1269.2826056640617,1087.1173943359383,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,4,mb-steels-160,1250.5,1955.5951636718798,705.0951636718798,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,4,mb-steels-101,1233.3,1925.162902539067,691.8629025390671,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,0,mb-steels-179,1801.8,1360.012021386721,441.78797861327894,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,2,mb-steels-289,1340.1,1775.543578417968,435.4435784179682,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,1,mb-steels-274,1392.4,1819.3216119140552,426.9216119140551,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,4,mb-steels-029,1164.4,1575.6761487304664,411.2761487304663,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,4,mb-steels-312,1139.7,1532.182146289064,392.48214628906385,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,2,mb-steels-021,2510.3,2176.8387312500017,333.46126874999845,0.5,0.5,,,best_model_by_task
matbench_steels,yield strength,MPa,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,3,mb-steels-043,2157.3,1824.223493847656,333.0765061523441,0.5,0.5,,,best_model_by_task
