variant,source_run_id,task,unit,feature_set,feature_set_display,strategy,initial_fraction,top_fraction,n_runs,found_global_best_rate,acquisitions_to_global_best_mean,acquisitions_to_global_best_median,first_top_fraction_acquisitions_mean,final_objective_gap_mean,final_objective_regret_fraction_mean,final_best_objective_percentile_mean,final_top_fraction_hit_rate_mean,final_top_fraction_hit_count_mean,fit_seconds_sum,predict_seconds_sum,notebook_cell_id,value_origin
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,random,0.1,0.05,15,,,,,,0.243519,0.995939,0.289744,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,extra_trees_greedy,0.1,0.05,15,,,,,,0.212022,0.998689,0.838462,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,extra_trees_ucb,0.1,0.05,15,,,,,,0.262902,0.998558,0.858974,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,tabpfn_greedy,0.1,0.05,15,,,,,,0.282542,0.998428,0.871795,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,tabpfn_disagreement_ucb,0.1,0.05,15,,,,,,0.262902,0.998559,0.861538,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,random,0.2,0.05,15,,,,,,0.161454,0.997380,0.400000,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,extra_trees_greedy,0.2,0.05,15,,,,,,0.262902,0.998558,0.892308,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,extra_trees_ucb,0.2,0.05,15,,,,,,0.227642,0.998690,0.905128,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,tabpfn_greedy,0.2,0.05,15,,,,,,0.243262,0.998690,0.912821,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_164604_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,tabpfn_disagreement_ucb,0.2,0.05,15,,,,,,0.172741,0.998951,0.900000,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,random,0.1,0.05,15,,,,,,0.092233,0.995586,0.202614,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,extra_trees_greedy,0.1,0.05,15,,,,,,0.000000,1.000000,0.964706,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,extra_trees_ucb,0.1,0.05,15,,,,,,0.000000,1.000000,0.975163,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,tabpfn_greedy,0.1,0.05,15,,,,,,0.000277,0.999868,0.947712,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,tabpfn_disagreement_ucb,0.1,0.05,15,,,,,,0.000000,1.000000,0.985621,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,random,0.2,0.05,15,,,,,,0.040190,0.997826,0.318954,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,extra_trees_greedy,0.2,0.05,15,,,,,,0.000000,1.000000,0.992157,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,extra_trees_ucb,0.2,0.05,15,,,,,,0.000000,1.000000,0.990850,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,tabpfn_greedy,0.2,0.05,15,,,,,,0.000000,1.000000,0.976471,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_173042_utc,matbench_phonons,cm^-1,magpie,Magpie composition,tabpfn_disagreement_ucb,0.2,0.05,15,,,,,,0.000000,1.000000,0.996078,,,,9kMHymJxff3-,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,random,0.1,0.05,15,0.133333,5.000000,5.0,0.0,384.621376,0.105576,0.995125,0.207843,10.600000,0.000000,0.000000,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,extra_trees_greedy,0.1,0.05,15,1.000000,19.333333,20.0,0.0,0.000000,0.000000,1.000000,0.977778,49.866667,77.457530,22.017151,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,extra_trees_ucb,0.1,0.05,15,1.000000,26.000000,20.0,0.0,0.000000,0.000000,1.000000,0.979085,49.933333,78.183375,22.045173,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,tabpfn_greedy,0.1,0.05,15,1.000000,36.000000,40.0,0.0,0.000000,0.000000,1.000000,0.973856,49.666667,109.843977,754.667577,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,tabpfn_disagreement_ucb,0.1,0.05,15,1.000000,24.000000,30.0,0.0,0.000000,0.000000,1.000000,0.983007,50.133333,189.626439,776.345450,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,random,0.2,0.05,15,0.466667,11.428571,0.0,0.0,138.435413,0.038012,0.998024,0.299346,15.266667,0.000000,0.000000,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,extra_trees_greedy,0.2,0.05,15,1.000000,14.666667,10.0,0.0,0.000000,0.000000,1.000000,0.994771,50.733333,95.848063,22.511175,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,extra_trees_ucb,0.2,0.05,15,1.000000,15.333333,20.0,0.0,0.000000,0.000000,1.000000,0.994771,50.733333,95.698682,22.275381,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,tabpfn_greedy,0.2,0.05,15,1.000000,34.000000,40.0,0.0,0.000000,0.000000,1.000000,1.000000,51.000000,110.204397,689.741716,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
standard_top5pct,gpu_20260606_183904_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,tabpfn_disagreement_ucb,0.2,0.05,15,1.000000,16.666667,10.0,0.0,0.000000,0.000000,1.000000,0.985621,50.266667,207.377614,711.111173,9kMHymJxff3-;CfEAZSvEyF_M,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,random,0.05,0.01,2,0.5,0.0,0.0,0.0,516.190543,0.321807,0.990157,0.166667,1.0,0.000000,0.000000,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,extra_trees_greedy,0.05,0.01,2,0.0,NaN,NaN,40.0,472.553286,0.294602,0.998033,0.750000,4.5,9.133288,2.378636,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,tabpfn_greedy,0.05,0.01,2,0.5,0.0,0.0,25.0,236.276643,0.147301,0.999016,0.833333,5.0,14.651010,52.425633,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie,Magpie composition,tabpfn_disagreement_ucb,0.05,0.01,2,0.5,70.0,70.0,25.0,236.276643,0.147301,0.999016,0.833333,5.0,22.876527,54.004779,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,random,0.05,0.01,2,0.0,NaN,NaN,0.0,752.467186,0.469108,0.989193,0.166667,1.0,0.000000,0.000000,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,extra_trees_greedy,0.05,0.01,2,0.0,NaN,NaN,10.0,472.553286,0.294602,0.998033,0.833333,5.0,9.356206,2.423233,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,tabpfn_greedy,0.05,0.01,2,0.0,NaN,NaN,25.0,472.553286,0.294602,0.998033,0.833333,5.0,13.792461,52.405216,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_jdft2d,meV/atom,magpie_structure_all,Magpie + all structure,tabpfn_disagreement_ucb,0.05,0.01,2,0.0,NaN,NaN,10.0,472.553286,0.294602,0.998033,0.833333,5.0,23.219086,55.053698,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie,Magpie composition,random,0.05,0.01,2,0.0,NaN,NaN,30.0,851.157880,0.233594,0.986166,0.045455,0.5,0.000000,0.000000,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie,Magpie composition,extra_trees_greedy,0.05,0.01,2,1.0,25.0,25.0,0.0,0.000000,0.000000,1.000000,1.000000,11.0,9.353532,3.095331,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie,Magpie composition,tabpfn_greedy,0.05,0.01,2,1.0,35.0,35.0,10.0,0.000000,0.000000,1.000000,1.000000,11.0,13.626341,101.924553,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie,Magpie composition,tabpfn_disagreement_ucb,0.05,0.01,2,1.0,30.0,30.0,5.0,0.000000,0.000000,1.000000,1.000000,11.0,23.211178,104.941910,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,random,0.05,0.01,2,0.0,NaN,NaN,40.0,738.657889,0.202720,0.993083,0.090909,1.0,0.000000,0.000000,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,extra_trees_greedy,0.05,0.01,2,1.0,15.0,15.0,0.0,0.000000,0.000000,1.000000,1.000000,11.0,9.590903,2.886023,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,tabpfn_greedy,0.05,0.01,2,1.0,40.0,40.0,5.0,0.000000,0.000000,1.000000,1.000000,11.0,14.038669,103.087786,g3xYGPVyyAPN,mixed_notebook_evidence
stress_top1pct,gpu_20260606_204419_utc,matbench_phonons,cm^-1,magpie_structure_all,Magpie + all structure,tabpfn_disagreement_ucb,0.05,0.01,2,1.0,25.0,25.0,0.0,0.000000,0.000000,1.000000,1.000000,11.0,23.749470,105.997123,g3xYGPVyyAPN,mixed_notebook_evidence
