status,task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,fold,train_size,test_size,n_features,mae,r2,fit_seconds,predict_seconds,random_seed,ensemble_tabpfn_weight,ensemble_extra_trees_weight,inner_val_fraction,inner_selected_tabpfn_weight,inner_selected_extra_trees_weight,inner_selected_val_mae
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,2,250,62,132,121.23241173441214,0.57099913632444,0.11740565299987793,0.002245187759399414,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,3,250,62,132,139.41464705503623,0.6343092531150211,0.05812501907348633,0.0014050006866455078,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,4,250,62,132,108.05151119138388,0.6936491007983632,0.11774396896362305,0.0022301673889160156,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,0,249,63,132,108.74237544952875,0.5865764637098518,13.977894067764282,0.7772905826568604,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,1,249,63,132,70.00558345734129,0.891800341604797,0.2745804786682129,0.20901012420654297,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,2,250,62,132,72.4479200793851,0.8657955688152006,0.3325490951538086,0.39586615562438965,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,3,250,62,132,85.34541055002519,0.865627933878703,0.2841627597808838,0.2061927318572998,42,,,,,,
ok,matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,4,250,62,132,101.71301230153728,0.5113906621938011,0.2382192611694336,0.2049710750579834,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,0,508,128,132,53.14474674327123,-0.09257359430219214,0.003220081329345703,0.0006749629974365234,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,1,509,127,132,72.81179141887425,-8.310623261609251e-05,0.0026595592498779297,0.0006427764892578125,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,2,509,127,132,83.12200287791626,-0.027080775891583198,0.0026171207427978516,0.0006246566772460938,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,3,509,127,132,61.317426388547496,-0.015973675928532494,0.0026273727416992188,0.0006301403045654297,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,4,509,127,132,66.0294695504642,-0.0001963542111964589,0.0025548934936523438,0.0006401538848876953,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,0,508,128,132,53.63537759699821,-0.15227044560799197,0.09683465957641602,0.0011143684387207031,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,1,509,127,132,61.48149060733011,0.18135616362664553,0.10263442993164062,0.0011265277862548828,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,2,509,127,132,78.59234626169552,0.12147509557368363,0.03159785270690918,0.0010869503021240234,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,3,509,127,132,52.15428362674275,0.08273565258909443,0.012204408645629883,0.0011224746704101562,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,4,509,127,132,66.32846741300811,-0.03222609440050728,0.012208223342895508,0.001093149185180664,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,0,508,128,132,43.44152590922319,-0.07516554203799419,0.4418365955352783,0.050978660583496094,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,1,509,127,132,47.501819244421036,0.25270694930084203,0.41306281089782715,0.04911065101623535,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,2,509,127,132,63.74834415754083,0.2576688533695318,0.3954439163208008,0.038953304290771484,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,3,509,127,132,42.165796870380376,0.14841541291103677,0.4329092502593994,0.03851175308227539,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,4,509,127,132,53.16593191351549,0.031865000771527985,0.4118492603302002,0.039101600646972656,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,0,508,128,132,41.76421718302039,-0.12878131829120387,0.22474193572998047,0.03958296775817871,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,1,509,127,132,51.13136208339846,0.04624901145003679,0.21934032440185547,0.03976631164550781,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,2,509,127,132,61.95649951263014,0.25631420304492536,0.2184755802154541,0.03906750679016113,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,3,509,127,132,40.532660412263596,-0.11208107867501216,0.22170662879943848,0.038930654525756836,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,4,509,127,132,51.79197792312602,0.007374294078525967,0.2302851676940918,0.03993725776672363,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,0,508,128,132,45.900913268000394,-0.07563423879085063,0.12282156944274902,0.0019307136535644531,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,1,509,127,132,50.10213420112499,0.2582945448934776,0.13091015815734863,0.0019385814666748047,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,2,509,127,132,68.0530727311953,0.23048968710710638,0.08439826965332031,0.0015769004821777344,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,3,509,127,132,45.585585955311785,0.2781760146566762,0.0703580379486084,0.0014526844024658203,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,4,509,127,132,61.93701348401737,0.048427220821580796,0.03620791435241699,0.0011146068572998047,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,0,508,128,132,40.44062724291081,-0.23696896817138957,0.23395872116088867,0.2223374843597412,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,1,509,127,132,47.65861823500249,0.15635480018307313,0.2368006706237793,0.21788954734802246,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,2,509,127,132,57.676265783480595,0.3464715500813865,0.23603177070617676,0.2182762622833252,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,3,509,127,132,35.82926699063152,0.1523130798620137,0.23482561111450195,0.21924400329589844,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,4,509,127,132,49.0459159699709,0.057701948889755106,0.23391222953796387,0.21661972999572754,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,0,508,128,135,53.14474674327123,-0.09257359430219214,0.003271818161010742,0.0006654262542724609,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,1,509,127,135,72.81179141887425,-8.310623261609251e-05,0.0027549266815185547,0.0006546974182128906,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,2,509,127,135,83.12200287791626,-0.027080775891583198,0.002689838409423828,0.000637054443359375,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,3,509,127,135,61.317426388547496,-0.015973675928532494,0.002713918685913086,0.0006387233734130859,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,4,509,127,135,66.0294695504642,-0.0001963542111964589,0.0026793479919433594,0.0006282329559326172,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,0,508,128,135,45.91826349441413,0.12461925032661769,0.1029813289642334,0.0010640621185302734,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,1,509,127,135,51.48746594649932,0.4344630148820513,0.10881376266479492,0.001132965087890625,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,2,509,127,135,70.21909530786105,0.28953804124633487,0.11096763610839844,0.0011343955993652344,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,3,509,127,135,46.93382581584913,0.2528518926476385,0.10858845710754395,0.0011167526245117188,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,4,509,127,135,59.482313273974086,0.059080800253499266,0.10322785377502441,0.00110626220703125,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,0,508,128,135,37.07815834969864,0.1952429198698259,0.47986674308776855,0.057355403900146484,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,1,509,127,135,40.658115990583035,0.4524342911941771,0.41417980194091797,0.03919410705566406,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,2,509,127,135,56.99874494814805,0.3411904857166973,0.4082465171813965,0.04016518592834473,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,3,509,127,135,36.5366115357634,0.2791717501028088,0.4127824306488037,0.03986001014709473,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,4,509,127,135,43.89771707129198,0.09956245854091517,0.39495205879211426,0.03766608238220215,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,0,508,128,135,33.192552640511735,0.29629051657468364,0.21367096900939941,0.04172945022583008,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,1,509,127,135,45.4906621367177,0.23605922572060356,0.2402949333190918,0.038042545318603516,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,2,509,127,135,55.09358055113431,0.3576446200080309,0.22911381721496582,0.030704259872436523,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,3,509,127,135,36.479448479777176,-0.04035795298606004,0.2395637035369873,0.03869938850402832,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,4,509,127,135,44.17881723566659,0.07670946553839042,0.23144769668579102,0.03783464431762695,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,0,508,128,135,37.88412342140946,0.16709056946051026,0.11339521408081055,0.0018334388732910156,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,1,509,127,135,47.34760843762143,0.3850442205921091,0.2668030261993408,0.002544403076171875,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,2,509,127,135,61.62770504235281,0.2999764498924381,0.08641934394836426,0.0013885498046875,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,3,509,127,135,39.92835534415747,0.3804288055604561,0.06953120231628418,0.0012297630310058594,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,4,509,127,135,54.79229813102836,0.08022730647471166,0.05408334732055664,0.0011246204376220703,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,0,508,128,135,24.48847251280042,0.526127165943574,0.43529796600341797,0.2437577247619629,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,1,509,127,135,40.419000308779786,0.22345246937665753,0.2413194179534912,0.2177295684814453,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,2,509,127,135,49.45397549121036,0.5346514977057049,0.2367100715637207,0.21765613555908203,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,3,509,127,135,27.94680280602916,0.5496168262866599,0.23473000526428223,0.2171003818511963,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,4,509,127,135,37.73143871395175,0.15238787735347414,0.2330629825592041,0.216325044631958,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,0,508,128,143,53.14474674327123,-0.09257359430219214,0.003347158432006836,0.0007140636444091797,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,1,509,127,143,72.81179141887425,-8.310623261609251e-05,0.002862215042114258,0.0006911754608154297,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,2,509,127,143,83.12200287791626,-0.027080775891583198,0.0028879642486572266,0.0006976127624511719,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,3,509,127,143,61.317426388547496,-0.015973675928532494,0.002861499786376953,0.0006699562072753906,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,4,509,127,143,66.0294695504642,-0.0001963542111964589,0.002805948257446289,0.0006890296936035156,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,0,508,128,143,53.55135591790663,-0.10280172204308058,0.03743720054626465,0.0011584758758544922,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,1,509,127,143,60.49522563282354,0.2346174199422777,0.013595104217529297,0.001169443130493164,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,2,509,127,143,78.27874839802523,0.12950006996453167,0.013753652572631836,0.0011317729949951172,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,3,509,127,143,53.65899105331218,0.028464072307199717,0.013529300689697266,0.0011577606201171875,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,4,509,127,143,66.3148911356901,-0.0371741664540175,0.01394033432006836,0.0011420249938964844,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,0,508,128,143,43.23003187322753,-0.0896755729642813,0.4052731990814209,0.04111075401306152,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,1,509,127,143,45.181245223054816,0.3100527548436466,0.3910534381866455,0.050096750259399414,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,2,509,127,143,63.36129269418118,0.2572829976852351,0.40381646156311035,0.04119253158569336,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,3,509,127,143,40.27874762264798,0.21713977375768745,0.4017009735107422,0.040427207946777344,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,4,509,127,143,51.18468391791783,0.054953533296712376,0.39166975021362305,0.03934884071350098,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,0,508,128,143,35.79747189844481,0.22061482799828647,0.24363231658935547,0.04989361763000488,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,1,509,127,143,43.56764952700198,0.19053465398550395,0.23229622840881348,0.03848457336425781,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,2,509,127,143,59.31173493313285,0.27796707621816474,0.2299354076385498,0.03923368453979492,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,3,509,127,143,37.59033221243549,-0.05526124584171743,0.2581522464752197,0.0439152717590332,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,4,509,127,143,47.277781297411686,0.10537205418036233,0.23459911346435547,0.03852105140686035,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,0,508,128,143,44.44915713642435,-0.002021466176551634,0.11066699028015137,0.0017180442810058594,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,1,509,127,143,52.16331894898712,0.2264225805625829,0.2018263339996338,0.002423524856567383,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,2,509,127,143,67.20758512821271,0.2214713109996952,0.08340692520141602,0.0014204978942871094,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,3,509,127,143,43.7513072139034,0.2765782438728508,0.07893538475036621,0.0013751983642578125,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,4,509,127,143,62.89820573526257,0.047160802711202376,0.031714677810668945,0.0012645721435546875,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,0,508,128,143,39.03470305800526,-0.12692066397352364,0.2384960651397705,0.225860595703125,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,1,509,127,143,46.49410935416661,0.14333362427055385,0.4385209083557129,0.2253880500793457,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,2,509,127,143,53.165475673691006,0.36875054436890364,0.23993635177612305,0.22515201568603516,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,3,509,127,143,32.80526631274879,0.24897750245304529,0.23952603340148926,0.22546887397766113,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,4,509,127,143,47.436812129703036,0.09664090769154321,0.23880338668823242,0.2241649627685547,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,dummy_mean,Dummy mean,0,508,128,133,53.14474674327123,-0.09257359430219214,0.0033423900604248047,0.0006740093231201172,42,,,,,,
ok,matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,dummy_mean,Dummy mean,1,509,127,133,72.81179141887425,-8.310623261609251e-05,0.002681255340576172,0.0006248950958251953,42,,,,,,
