task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,folds_completed,mean_mae,std_mae,sem_mae,mean_r2,std_r2,n_features,train_size_mean,test_size_sum,fit_seconds_sum,predict_seconds_sum,rank_by_mae
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn,TabPFN,5,35.09316664636881,8.764022553668696,3.9193900372689003,0.40188301362103845,0.18077130908702724,138.0,508.8,636,1.1864421367645264,1.1074213981628418,4
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,5,36.007937966554294,10.011291566828703,4.477185697199871,0.3972471673332141,0.19291655316723177,135.0,508.8,636,1.3811204433441162,1.1125688552856445,5
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,36.35994484572164,8.689594205263036,3.886104667971282,0.38435014700294534,0.1420461196478106,149.0,508.8,636,0.0,0.0,6
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,tabpfn,TabPFN,5,36.6971680979237,8.1411403430268,3.6408286442747753,0.36740786437238937,0.15738323177703842,133.0,508.8,636,1.2629039287567139,1.1014626026153564,7
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,36.94785077166473,8.733344558993446,3.905670420967453,0.35139018573869973,0.1330275769606408,147.0,508.8,636,0.0,0.0,8
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,37.50161103196727,8.87452985694027,3.968810405693985,0.37416785564530486,0.1529305051884265,138.0,508.8,636,0.0,0.0,9
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,37.82862800309538,8.705656656962756,3.8932880147484568,0.36300282593373856,0.13892921099121242,136.0,508.8,636,0.0,0.0,10
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,38.33073410819732,9.33616042341489,4.175257871119782,0.3572403654495103,0.14963929261446546,135.0,508.8,636,0.0,0.0,11
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,40.1535766586591,8.877847292962954,3.970294008185531,0.3163671781968006,0.1192904907563726,133.0,508.8,636,0.0,0.0,12
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,extra_trees,Extra trees,5,40.54347308351945,8.586356198312053,3.839935227690483,0.2497843666354421,0.16348980612301012,149.0,508.8,636,1.1460115909576416,0.2219700813293457,13
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,extra_trees,Extra trees,5,40.742675384598684,8.394178407970607,3.753990707096648,0.22674957208229504,0.17223765633013988,147.0,508.8,636,1.1158788204193115,0.19656801223754883,14
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,extra_trees,Extra trees,5,41.86835138196757,8.877534520350252,3.9701541320208307,0.2319685400402383,0.18133281653994987,138.0,508.8,636,1.0914714336395264,0.199676513671875,15
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,random_forest,Random forest,5,41.994469779309306,7.8899639902955805,3.528499164465282,0.3013498113529014,0.17746408145955178,149.0,508.8,636,2.163361072540283,0.2148427963256836,16
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,random_forest,Random forest,5,42.14768684969401,7.848645529992651,3.5100209872726866,0.301842265779446,0.17261007007749166,138.0,508.8,636,2.3139567375183105,0.1984114646911621,17
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,5,42.887012208761504,8.55113271931454,3.8241828090019867,0.18526917497112969,0.16379214952233498,135.0,508.8,636,1.1540911197662354,0.1870102882385254,18
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,5,43.033869579097015,8.353038968032564,3.735592590245101,0.27352038108488486,0.13510189489172786,135.0,508.8,636,2.110027551651001,0.21424078941345215,19
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,tabpfn,TabPFN,5,43.037673611401736,7.976305999478905,3.5671124848348468,0.21393641172327263,0.20517594326666994,134.0,508.8,636,1.1964871883392334,1.1287732124328613,20
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,random_forest,Random forest,5,43.12046680247524,8.71835466480752,3.898966736492402,0.2777199474202301,0.13767114595157867,136.0,508.8,636,2.2207255363464355,0.21468615531921387,21
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,extra_trees,Extra trees,5,43.179493972504325,8.287001164530873,3.7060595867021893,0.18937215866416485,0.13098742733981875,136.0,508.8,636,1.1065950393676758,0.2085723876953125,22
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,43.18679636047248,8.623949585935177,3.856747501736444,0.17727372009344372,0.09002633685549899,143.0,508.8,636,0.0,0.0,23
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,random_forest,Random forest,5,43.28329400608992,8.655179278555181,3.870713844859395,0.27196755432681974,0.14176012260399612,147.0,508.8,636,2.051079034805298,0.41951441764831543,24
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,5,43.787273305662936,7.933917321044478,3.548155691543695,0.14615638296210448,0.18516962974982562,143.0,508.8,636,1.3952827453613281,1.1260344982147217,25
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,44.66547822406702,8.63419269630606,3.8613283599545105,0.1818758243210184,0.13386890981884045,134.0,508.8,636,0.0,0.0,26
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,5,44.70899397368537,9.37059162963868,4.1906559746525245,0.14784547330812,0.12952384661619465,143.0,508.8,636,1.198615312576294,0.21004819869995117,27
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,5,46.13013884439926,8.405794965351307,3.759185789490203,0.09517448216896778,0.21323785390636715,132.0,508.8,636,1.1755290031433105,1.0943670272827148,28
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,hist_gradient_boosting,HistGradientBoosting,5,46.6622248047196,9.685187126451654,4.33134735791035,0.3005966270698943,0.13652865215868892,138.0,508.8,636,0.49784111976623535,0.007498502731323242,29
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,hist_gradient_boosting,HistGradientBoosting,5,46.7852419885556,9.415033379133337,4.210530929234338,0.2889551101491511,0.13375685739501372,149.0,508.8,636,0.5344953536987305,0.008644819259643555,30
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,46.908933185763644,8.351917864450815,3.7350912174813793,0.08981715433977118,0.14687975692422003,132.0,508.8,636,0.0,0.0,31
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,random_forest,Random forest,5,47.04798783843525,7.450082154729445,3.3317780271866284,0.20426213543714372,0.19690137714505332,134.0,508.8,636,2.247310161590576,0.21968770027160645,32
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,extra_trees,Extra trees,5,47.34085970294261,8.608767727502716,3.8499579682404907,0.07988328242228573,0.14562187225286127,133.0,508.8,636,1.101677417755127,0.18793177604675293,33
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,random_forest,Random forest,5,47.49075579678016,8.838219310301437,3.952571835577064,0.18897668460582961,0.12451606987919617,133.0,508.8,636,1.9461965560913086,0.4210059642791748,34
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,hist_gradient_boosting,HistGradientBoosting,5,47.53115513727363,9.820341598609811,4.391790275352099,0.2717667968800343,0.14470700446783566,136.0,508.8,636,0.478609561920166,0.007326602935791016,35
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,extra_trees,Extra trees,5,47.962936495877784,9.033748175070311,4.0400150022143775,0.07493214225494178,0.1535550382661127,134.0,508.8,636,1.1510109901428223,0.21734023094177246,36
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,hist_gradient_boosting,HistGradientBoosting,5,48.058833736893185,10.700524810251336,4.785420174129005,0.2600459480518566,0.13527278736400628,147.0,508.8,636,0.4686753749847412,0.007547616958618164,37
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,5,48.316018075313906,9.990724981910029,4.467988040811236,0.26255347039604504,0.13477300677750806,135.0,508.8,636,0.5902321338653564,0.00812077522277832,38
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,5,48.64720026620587,9.142386130931639,4.088599373062888,0.14995069732380004,0.16440230693360902,143.0,508.8,636,1.993513822555542,0.21217608451843262,39
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,5,49.43534342288772,8.707948924170434,3.8943131478082513,0.013815022321454418,0.1549861638057416,132.0,508.8,636,1.1145496368408203,0.19728469848632812,40
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,5,50.004683619016184,8.79871028101342,3.9349028605344576,0.12309813486298889,0.14420528593082427,132.0,508.8,636,2.095101833343506,0.21665596961975098,41
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,hist_gradient_boosting,HistGradientBoosting,5,50.4917191890928,11.618309163560532,5.195865814666015,0.2314259161683539,0.12345028243863364,133.0,508.8,636,0.43666529655456543,0.007187604904174805,42
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,hist_gradient_boosting,HistGradientBoosting,5,52.7744956441234,9.661553388181504,4.320778028843449,0.18888645171358065,0.14850482052590128,134.0,508.8,636,0.5230319499969482,0.007962942123413086,43
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,5,54.09391483255803,10.644270416036338,4.7602624442294434,0.15392229439395594,0.12306514093022332,143.0,508.8,636,0.5065503120422363,0.008201837539672852,44
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,5,54.31574392792997,10.143686367484369,4.536394452026593,0.14795064573759806,0.15479198044298367,132.0,508.8,636,0.44469594955444336,0.008013486862182617,45
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,5,54.80819276771954,10.141585719291905,4.53545501359556,0.23211059987122834,0.14677219925135135,135.0,508.8,636,0.5345790386199951,0.0055544376373291016,46
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,ridge_cv,RidgeCV,5,55.4389711731485,9.574031969023112,4.281637260298367,0.22379417180513334,0.1584568721421357,136.0,508.8,636,0.1377699375152588,0.005476236343383789,47
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,ridge_cv,RidgeCV,5,55.459736114394865,9.588284653526605,4.288011254580701,0.22027145338676032,0.15832211693659146,138.0,508.8,636,0.09744095802307129,0.005574226379394531,48
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,ridge_cv,RidgeCV,5,56.40599190924121,9.458846188940472,4.230124613437144,0.21138383793104049,0.15995330751982056,147.0,508.8,636,0.07140159606933594,0.005848884582519531,49
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,ridge_cv,RidgeCV,5,56.50391178240339,9.355419604679279,4.1838708388194155,0.20898858541306087,0.1613899434462068,149.0,508.8,636,0.5391919612884521,0.0060999393463134766,50
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,ridge_cv,RidgeCV,5,57.61009276598677,10.085691524628896,4.51045836983274,0.16919611005273222,0.15997407851086592,133.0,508.8,636,0.0830221176147461,0.0053844451904296875,51
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,5,62.438393101154944,10.726771798815866,4.797158184255995,0.04021407435618487,0.13288189871432504,132.0,508.8,636,0.2554795742034912,0.00554347038269043,52
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,5,62.45984242755154,10.317158312720036,4.613973464373806,0.0505211347433822,0.13399066450808997,143.0,508.8,636,0.0922555923461914,0.005759477615356445,53
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,ridge_cv,RidgeCV,5,62.695050160699466,10.736082712896005,4.801322151619166,0.04136997962213065,0.13927667310795816,134.0,508.8,636,0.062242746353149414,0.005692720413208008,54
matbench_jdft2d,exfoliation_en,meV/atom,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,132.0,508.8,636,0.013679027557373047,0.0032126903533935547,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_complexity,Magpie + complexity,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,134.0,508.8,636,0.01378941535949707,0.0032415390014648438,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,135.0,508.8,636,0.01410984992980957,0.0032241344451904297,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing,Magpie + density + packing,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,136.0,508.8,636,0.01422572135925293,0.0032854080200195312,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,138.0,508.8,636,0.014156103134155273,0.0032205581665039062,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,147.0,508.8,636,0.015422582626342773,0.0035600662231445312,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_packing,Magpie + packing,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,133.0,508.8,636,0.013892173767089844,0.003214120864868164,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_structure_all,Magpie + all structure,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,149.0,508.8,636,0.01567816734313965,0.0035991668701171875,55
matbench_jdft2d,exfoliation_en,meV/atom,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,5,67.28508739581468,11.38520023085809,5.091616330728997,-0.027181501313224075,0.03828926906133407,143.0,508.8,636,0.014764785766601562,0.0034618377685546875,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tabpfn,TabPFN,5,30.63097806308275,3.0483560852927534,1.3632662852679487,0.9779754586778143,0.007251955297541649,150.0,1012.0,1265,1.285630702972412,3.3050479888916016,1
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tabpfn_extra_trees_inner_tuned,TabPFN + ExtraTrees tuned,5,30.63097806308275,3.0483560852927534,1.3632662852679487,0.9779754586778143,0.007251955297541649,150.0,1012.0,1265,2.792954206466675,3.10850191116333,1
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn,TabPFN,5,30.985622137435264,2.5720540065698274,1.1502575200981644,0.9775339015818416,0.007308143274788332,138.0,1012.0,1265,1.3501243591308594,2.865666389465332,2
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn,TabPFN,5,31.108186094299988,3.1757716561506126,1.4202482608339724,0.9767455932198482,0.0073496271536197515,148.0,1012.0,1265,1.2582018375396729,3.0162580013275146,3
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,tabpfn,TabPFN,5,31.1280827344103,2.823073740973657,1.262516958062346,0.9771322932997654,0.005933870953906796,136.0,1012.0,1265,1.484614372253418,2.8555965423583984,4
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,tabpfn,TabPFN,5,31.63813501805729,2.623254215734747,1.1731549497291585,0.9778766792202163,0.004663768540368784,133.0,1012.0,1265,1.4885473251342773,2.8072149753570557,5
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,tabpfn,TabPFN,5,32.263464101340034,2.064425959389855,0.9232393559421868,0.976839923599873,0.0066741440958819126,135.0,1012.0,1265,1.3245823383331299,2.863111972808838,6
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn,TabPFN,5,34.631008259155585,1.4683187282103354,0.6566520977828699,0.9713359274443523,0.009126246506063116,144.0,1012.0,1265,1.2790515422821045,2.9628195762634277,7
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,35.28537808845641,3.389457919937203,1.5158116631709244,0.9729916910987386,0.006940936665509936,138.0,1012.0,1265,0.0,0.0,8
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,35.33884908224559,3.2239589157055812,1.4417982584368385,0.9719867497311206,0.007826957202148177,150.0,1012.0,1265,0.0,0.0,9
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,35.407967442987,2.9964270455317052,1.3400429126855493,0.9727609208979884,0.006355688339161914,136.0,1012.0,1265,0.0,0.0,10
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,tabpfn,TabPFN,5,35.409783705517455,1.3363660501507295,0.5976410661919836,0.969963741871452,0.00837250099519162,134.0,1012.0,1265,1.2607944011688232,2.8091437816619873,11
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,35.5353690972582,3.3181854542558558,1.4839376475334225,0.9715373745216137,0.007105343036872079,148.0,1012.0,1265,0.0,0.0,12
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,35.95920928347862,3.4644280681035475,1.5493393326875606,0.972480158407382,0.00606510940241654,133.0,1012.0,1265,0.0,0.0,13
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tabpfn,TabPFN,5,36.853154223021924,1.5790417470921758,0.7061689371616271,0.9683042135454976,0.009222042729321808,132.0,1012.0,1265,1.2142481803894043,2.79278826713562,14
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,38.99602181021769,3.498415345157122,1.5645389050599434,0.9664012734585521,0.011154007735507648,135.0,1012.0,1265,0.0,0.0,15
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,40.33466647798309,3.373594202834129,1.5087171932072658,0.9637450169041056,0.012120014495186418,144.0,1012.0,1265,0.0,0.0,16
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,41.347589591234865,3.8614194959019583,1.7268792964959503,0.9619445996649167,0.011257002511866081,134.0,1012.0,1265,0.0,0.0,17
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,42.16495986018632,3.5024352389164317,1.5663366562015706,0.9617555726317122,0.010464854591045132,132.0,1012.0,1265,0.0,0.0,18
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,extra_trees,Extra trees,5,44.22702742886832,4.962786917792894,2.219425781206316,0.9595340246008515,0.011571065973867744,136.0,1012.0,1265,1.466794729232788,0.24314594268798828,19
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,extra_trees,Extra trees,5,44.36229115386608,4.968661163989105,2.222052823968574,0.9588240437079671,0.011068378829049628,138.0,1012.0,1265,1.3852910995483398,0.23356389999389648,20
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,extra_trees,Extra trees,5,44.71505282051151,5.267620329519216,2.355751427292962,0.9584148512696418,0.01192209925723851,133.0,1012.0,1265,1.3855762481689453,0.23958587646484375,21
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,extra_trees,Extra trees,5,45.39747726004952,4.279526543286404,1.9138624524606194,0.9539107886066095,0.016300523435941183,148.0,1012.0,1265,1.4359586238861084,0.2366809844970703,22
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,extra_trees,Extra trees,5,45.66806547047348,4.32351193206007,1.933533316323554,0.9533891585336638,0.01694564924023351,150.0,1012.0,1265,1.502504587173462,0.2158193588256836,23
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,extra_trees,Extra trees,5,50.50765327012432,6.36494043379951,2.84648789654254,0.9433751359963909,0.021497288548503787,135.0,1012.0,1265,1.4344291687011719,0.4629395008087158,24
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,extra_trees,Extra trees,5,50.812304553107744,5.388341344955938,2.4097395066588243,0.9395988283630299,0.025304661771705365,144.0,1012.0,1265,1.422025203704834,0.2386767864227295,25
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,extra_trees,Extra trees,5,50.881352115204656,6.406343192416878,2.8650037730874303,0.9418747831878272,0.02134567603331495,134.0,1012.0,1265,1.4162259101867676,0.23355841636657715,26
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,extra_trees,Extra trees,5,51.35537255835523,6.343861469597811,2.837061097172483,0.9430130212049208,0.019924144002913223,132.0,1012.0,1265,1.3329856395721436,0.2353377342224121,27
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,random_forest,Random forest,5,58.530300564406886,6.491654694562197,2.903156236699342,0.92955869057371,0.010095210966255286,133.0,1012.0,1265,2.4050891399383545,0.23924660682678223,28
