task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,fold,train_size,test_size,n_features,mae,r2,fit_seconds,predict_seconds,selected_hidden_layers,selected_alpha,selected_learning_rate_init,selected_inner_val_mae,selected_inner_val_r2,random_seed
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,0,1012,253,132,104.94626203860395,0.8596671438990232,2.705471992492676,0.0015840530395507812,"128,64",0.01,0.001,93.60862394805399,0.8367365839521104,42
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,1,1012,253,132,86.12000762292698,0.8522535803553509,2.2733235359191895,0.0016775131225585938,"256,128",0.001,0.001,84.41320810204238,0.8965727395362936,42
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,2,1012,253,132,99.72586331640052,0.8198537803412045,1.8636243343353271,0.0016388893127441406,"256,128",0.001,0.001,92.67153354607842,0.830731344862722,42
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,3,1012,253,132,86.73662634692928,0.8464393874745758,1.610013723373413,0.0015132427215576172,"128,64",0.0001,0.001,91.88716319557189,0.8497196635680785,42
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,tuned_mlp,Tuned MLP,4,1012,253,132,128.4382421508277,0.7639475256559675,1.014383316040039,0.0016028881072998047,"256,128",0.001,0.001,131.9393537369205,0.753399868243532,42
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,0,1012,253,150,64.9405439418761,0.9493839537279335,3.9622697830200195,0.001924276351928711,"256,128",0.001,0.001,81.58837688180728,0.8932861544751337,42
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,1,1012,253,150,75.81301499560617,0.8781853560995929,4.823508977890015,0.0019078254699707031,"256,128",0.01,0.001,72.14112098338232,0.8896516960442824,42
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,2,1012,253,150,74.238838866448,0.9399936660223751,2.188758373260498,0.0018672943115234375,"256,128",0.001,0.001,67.4468539268555,0.9384571620446126,42
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,3,1012,253,150,77.07915137901097,0.9112046100418496,1.6947026252746582,0.0016400814056396484,"128,64",0.0001,0.001,82.91961073882874,0.9007954867334802,42
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,tuned_mlp,Tuned MLP,4,1012,253,150,77.8958318087489,0.9121485961207794,3.016569137573242,0.0019183158874511719,"256,128",0.001,0.001,87.51162321322295,0.9362281848068723,42
